trial_num,id,condition,condition_code,word_count,target_word,sentence,correct_answer
1,S322,f_cleft,40,14,3,Ήταν ο Πέτρος που κάλεσε τόσα άτομα στο πάρτι χωρίς να μας το πει,
2,S231,svo_a_neut,20,13,3,Το εισιτήριο τον μπέρδεψε τον Θωμά γιατί δεν έγραφε τη σωστή ώρα αναχώρησης,
3,S315,f_passive,40,16,3,Η Γιάννα βεβαιώθηκε από το αφεντικό της πως θα πάρει αύξηση αν συνεχίσει την καλή δουλειά,
4,S009,ovs_a,10,11,3,Το πορτοφόλι το βρήκε η δασκάλα πεταμένο κάτω από ένα θρανίο,
5,S168,svo_b_neut,20,12,3,Είχε φάει ήδη πάρα πολύ και το επιδόρπιο τη βάρυνε την Αλεξάνδρα,
6,S404,f_svoba_fem,40,18,3,Όταν γύρισε σπίτι η σακούλα τον μπέρδεψε τον Γιώργο γιατί είχε μέσα πράγματα που δεν θυμόταν να αγόρασε,
7,S252,svo_ba_neut,20,13,3,Όσο διάβαζε στη βιβλιοθήκη το φως τον ενοχλούσε τον Πέτρο γιατί τρεμόπαιζε συνέχεια,
8,S155,svo_b_neut,20,11,3,Δεν είχε παραγγείλει τίποτα και το πακέτο την ξάφνιασε τη Γεωργία,
9,S222,svo_a_neut,20,13,3,Το νέο τον ενθουσίασε τον Βασίλη γιατί περίμενε πολύ καιρό την προαγωγή του,
10,S051,ovs_b,10,11,3,Ο Γιάννης άργησε και το πρόγραμμα το παρουσίασε ο βοηθός του,
11,S044,ovs_a,10,13,3,Το ρούχο το έραψε η γιαγιά μου με το ύφασμα που της έστειλα,
12,S046,ovs_a,10,14,3,Το χάπι το πήρε η Εύα στις εφτά και μετά την ξαναπήρε ο ύπνος,
13,S162,svo_b_neut,20,12,3,Δυσκολευόταν να κοιμηθεί χτες βράδυ και το βιβλίο τη βοήθησε τη Μαρία,
14,S251,svo_ba_neut,20,12,3,Μετά την παράσταση το χειροκρότημα τον συγκίνησε τον Αλέξη και υποκλίθηκε ικανοποιημένος,
15,S153,svo_b_neut,20,11,3,Είχε πολλή ζέστη σήμερα και το κλιματιστικό την ανακούφισε τη Δανάη,
16,S016,ovs_a,10,11,3,Το νερό το ήπιε η Ηλιάνα όλο πριν τελειώσει την προπόνηση,
17,S200,svo_b_neut,20,16,3,Έψαχνε μια δικαιολογία για να φύγει από το πάρτι και το τηλεφώνημα την έσωσε τη Λένα,
18,S104,ovs_ba,10,15,3,Ο Στέλιος έλειπε από το γραφείο και το συνέδριο το ξεκίνησε η Ράνια χωρίς αυτόν,
19,S300,svo_ba_neut,20,18,3,Του έδωσα το δώρο του και το περιτύλιγμα τον δυσκόλεψε τον Βαγγέλη γιατί δεν μπορούσε να το ανοίξει,
20,S372,f_ovsba_fem,40,17,3,Όταν επέστρεψε από τη δουλειά την μπουγάδα την άπλωσε η Κατερίνα επειδή ο Γιάννης είχε βάλει πλυντήριο,
21,S380,f_svoa_masc,40,13,3,Ο βραστήρας το ζέστανε το νερό πολύ γρήγορα γιατί είναι πολύ καλής ποιότητας,
22,S146,ovs_ba,10,19,3,Πριν προλάβω να δω το κινητό μου το μήνυμα το διέγραψε η Ράνια γιατί δεν ήθελε να το διαβάσω,
23,S237,svo_a_neut,20,14,3,Το σχόλιο τη στεναχώρησε τη Ζωή γιατί δεν περίμενε κάτι τέτοιο από την Καίτη,
24,S025,ovs_a,10,12,3,Το τηλέφωνο το αγόρασε ο παππούς πέρσι και ακόμα δεν το συνήθισε,
25,S196,svo_b_neut,20,14,3,Δεν πρόσεξε όταν το έβαλε στο βάζο και το τριαντάφυλλο την τσίμπησε τη Μαρία,
26,S337,f_ungrammatical,40,13,3,Τις προάλλες έμαθα ότι η εκπομπή του Πέτρου θα παρακολουθηθούν από πολλούς θεατές,
27,S302,f_passive,40,10,3,Ο Γιάννης χτυπήθηκε όσο έκανε ποδήλατο από έναν απρόσεχτο οδηγό,
28,Q_S302,f_passive,50,10,3,Ο Γιάννης χτυπήθηκε από τον ξάδερφο του?,ΌΧΙ
28,S259,svo_ba_neut,20,14,3,Όταν έφτασε σπίτι το γράμμα την ανησύχησε τη Νίκη επειδή δεν είχε καλές ειδήσεις,
29,S229,svo_a_neut,20,13,3,Το κινητό τον απογοήτευσε τον Σταύρο γιατί κολλούσε ήδη από την πρώτη μέρα,
