id,sentence,question,correct_answer,condition,condition_code,word_count,target_word
S001,Το διαγώνισμα το παρέδωσαν οι φοιτητές στα πρώτα δέκα λεπτά,,,ovs_a,10,10,3
S002,Το σχολείο το τελείωσε η Λία με πολύ καλούς βαθμούς,,,ovs_a,10,10,3
S003,Το καλοκαίρι το προτιμά ο Βασίλης επειδή κάθε χρόνο πάει διακοπές,,,ovs_a,10,11,3
S004,Το ρολόι το αγόρασε ο μπαμπάς  λίγο πριν παντρευτεί τη μαμά,,,ovs_a,10,11,3
S005,Το πακέτο το παρέδωσε ο ταχυδρόμος πολύ βιαστικά σήμερα το πρωί,,,ovs_a,10,11,3
S006,Το βιβλίο το αγόρασε ο Γιάννης από ένα καινούριο βιβλιοπωλείο χτες,,,ovs_a,10,11,3
S007,Το βιβλίο το αγόρασε η Χριστίνα επειδή είχε μια φοιτητική έκπτωση,,,ovs_a,10,11,3
S008,Το μήνυμα το έγραψε η Κατερίνα λίγο πριν πάει για ύπνο,,,ovs_a,10,11,3
S009,Το πορτοφόλι το βρήκε η δασκάλα πεταμένο κάτω από ένα θρανίο,,,ovs_a,10,11,3
S010,Το αμάξι το καθάρισε ο πατέρας μου πριν πάει στη Αθήνα,,,ovs_a,10,11,3
S011,Το φαγητό το παρέδωσε ο ντελιβεράς χωρίς να μου πει λέξη,,,ovs_a,10,11,3
S012,Το επιδόρπιο το έφερε ο σερβιτόρος αφού φάγαμε το κυρίως πιάτο,,,ovs_a,10,11,3
S013,Το ποτήρι το έριξε ο Βαγγέλης καταλάθος στο πάτωμα και έσπασε,,,ovs_a,10,11,3
S014,Το κολιέ το πλήρωσε η αδερφή μου επειδή δεν πληρώθηκα ακόμα,,,ovs_a,10,11,3
S015,Το βάζο το έσπασε η γάτα όταν ανέβηκε πάνω στο τραπέζι ,,,ovs_a,10,11,3
S016,Το νερό το ήπιε η Ηλιάνα όλο πριν τελειώσει την προπόνηση,,,ovs_a,10,11,3
S017,Το δωμάτιο το έκλεισε ο Αναστάσης έναν μήνα πριν πάει διακοπές,,,ovs_a,10,11,3
S018,Το αυτοκίνητο το πήγα στο συνεργείο επειδή δεν άναβε η μηχανή,,,ovs_a,10,11,3
S019,Το φαγητό το ετοίμασα από χτες επειδή σήμερα δεν έχω χρόνο,,,ovs_a,10,11,3
S020,Το ποτό το πλήρωσε ο Μιχάλης επειδή ήθελε να με κεράσει,,,ovs_a,10,11,3
S021,Το σουβενίρ το έφεραν οι γονείς μου όταν γύρισαν από τη Γαλλία,,,ovs_a,10,12,3
S022,Το τραπέζι το έφτιαξε ο Νίκος μόνος του πριν από μερικά χρόνια,,,ovs_a,10,12,3
S023,Το περιοδικό το διάβασε η Μαρία στο διάλειμμα της όσο έτρωγε μεσημεριανό,,,ovs_a,10,12,3
S024,Το τζάμι το καθάρισε ο Κώστας με το σπρέι που αγόρασε χθες,,,ovs_a,10,12,3
S025,Το τηλέφωνο το αγόρασε ο παππούς πέρσι και ακόμα δεν το συνήθισε,,,ovs_a,10,12,3
S026,Το μπουκάλι το γέμισε ο Γιάννης με νερό πριν πάει στην προπόνηση,,,ovs_a,10,12,3
S027,Το φαγητό το έφερε η γιαγιά μαζί της από το χωριό χτες,,,ovs_a,10,12,3
S028,Το στυλό το πέταξε ο Δημήτρης στα σκουπίδια όταν τελείωσε το μελάνι,,,ovs_a,10,12,3
S029,Το πληκτρολόγιο το καθάρισε ο Χρήστος όταν είδε πόση βρωμιά είχε μαζέψει,,,ovs_a,10,12,3
S030,Το δωμάτιο το καθάρισε το προσωπικό του ξενοδοχείου όσο ήμουν στην πισίνα,,,ovs_a,10,12,3
S031,Το δεκάρικο το έχασε ο Μάκης σήμερα το πρωί στο σούπερ μάρκετ,,,ovs_a,10,12,3
S032,Το τσιγάρο το έκοψε ο Μιχάλης επειδή άρχισε να βήχει κάθε μέρα,,,ovs_a,10,12,3
S033,Το σακίδιο το γέμισε ο ανιψιός μου με παιχνίδια από το καινούριο μαγαζί ,,,ovs_a,10,13,3
S034,Το πακέτο το έστειλε η μητέρα μου από τη Γερμανία για τα Χριστούγεννα,,,ovs_a,10,13,3
S035,Το παράθυρο το έσπασε η ανιψιά μου όταν έπαιζε μπάλα χτες το απόγευμα,,,ovs_a,10,13,3
S036,Το λάπτοπ το πλήρωσε η Ελένη με δόσεις επειδή δεν είχε αρκετά λεφτά,,,ovs_a,10,13,3
S037,Το γράμμα το έγραψε η δασκάλα για να έρθουν οι γονείς στην εκδήλωση,,,ovs_a,10,13,3
S038,Το σπίτι το έβαψαν οι γείτονες το καλοκαίρι και δεν πήρε πολλή ώρα,,,ovs_a,10,13,3
S039,Το λουλούδι το πότισε η μαμά σήμερα το πρωί για να μην ξεραθεί,,,ovs_a,10,13,3
S040,Το βραχιόλι το έδωσε η θεία μου στη μαμά μου πριν δέκα χρόνια,,,ovs_a,10,13,3
S041,Το κτίριο το φυλάει ένας φρουρός τα βράδια για να μη μπει κανείς,,,ovs_a,10,13,3
S042,Το όνομα το διάλεξε η φίλη μου που θα βαφτίσει το παιδί μου,,,ovs_a,10,13,3
S043,Το πρόβλημα το έλυσε η Λίτσα όταν ζήτησε βοήθεια από τη φίλη της,,,ovs_a,10,13,3
S044,Το ρούχο το έραψε η γιαγιά μου με το ύφασμα που της έστειλα,,,ovs_a,10,13,3
S045,Το βιβλίο το έβαλε η Γεωργία στην τσάντα της για να πάει στο μάθημα,,,ovs_a,10,14,3
S046,Το χάπι το πήρε η Εύα στις εφτά και μετά την ξαναπήρε ο ύπνος,,,ovs_a,10,14,3
S047,Το χαρτί το άφησε ο Νίκος πάνω στο τραπέζι για να μην το ξεχάσει,,,ovs_a,10,14,3
S048,Το λάθος το έκανε η Όλγα επειδή δεν κατάλαβε τι της είπα στο τηλέφωνο,,,ovs_a,10,14,3
S049,Το καλάθι το γέμισε ο Δημήτρης με βρώμικα ρούχα και πήγε να τα πλύνει,,,ovs_a,10,14,3
S050,Το πτυχίο το πήρε ο Μάριος πριν από μερικούς μήνες και ήδη βρήκε δουλειά,,,ovs_a,10,14,3
S051,Ο Γιάννης άργησε και το πρόγραμμα το παρουσίασε ο βοηθός του,,,ovs_b,10,11,3
S052,Επειδή εμένα μου ήταν φαρδύ το φουστάνι το φόρεσε η Χριστίνα,,,ovs_b,10,11,3
S053,Δεν χρειαζόμαστε ποτέ χάρτες επειδή το νησί το ξέρει ο Γιώργος,,,ovs_b,10,11,3
S054,Όπως και τις προηγούμενες χρονιές το δάσος το επηρέασε η ξηρασία,,,ovs_b,10,11,3
S055,Για πρώτη φορά φέτος για τα Χριστούγεννα το τραπέζι το έκανε η Κατερίνα,,,ovs_b,10,13,3
S056,Κοιμόμουν στο άλλο δωμάτιο και το τηλέφωνο το σήκωσε η Μαρία,,,ovs_b,10,11,3
S057,Ήμουν πάρα πολύ αγχωμένη και το γράμμα το άνοιξε η μαμά μου,,,ovs_b,10,12,3
S058,Ήθελα να φάω κάτι γλυκό άλλα το κέικ το έφαγε η Μαίρη,,,ovs_b,10,12,3
S059,Σύμφωνα με τον παλιό μύθο το χωριό το ονόμασε ο Δίας,,,ovs_b,10,11,3
S060,Ήθελε να φαίνεται περιποιημένος στο γάμο οπότε το κοστούμι το έφτιαξε ράφτης,,,ovs_b,10,12,3
S061,Κρύσωσα όταν βγήκα έξω επειδή το μπουφάν το δανείστηκε η αδερφή μου,,,ovs_b,10,12,3
S062,Αδυνάτισε πολύ από πέρσι και το παντελόνι το στένεψε η γιαγιά του,,,ovs_b,10,12,3
S063,Σήμερα το πρωί βιαζόμουν πολύ και το κρεβάτι το έστρωσε η μαμά,,,ovs_b,10,12,3
S064,Καλέσαμε κλειδαρά χτες το απόγευμα επειδή το κλειδί το έχασε ο Κωνσταντίνος,,,ovs_b,10,12,3
S065,Ο Νίκος κοιμόταν το μεσημέρι και το τηλέφωνο το απάντησε ο μπαμπάς,,,ovs_b,10,12,3
S066,Στο εστιατόριο που πήγαμε χτες το μενού το έφτιαξε ο κολλητός μου,,,ovs_b,10,12,3
S067,Μας είπε με πολλή περηφάνεια ότι το τσαντάκι το αγόρασε ο άντρας της ,,,ovs_b,10,13,3
S068,Σήμερα μπόρεσα να κοιμηθώ παραπάνω επειδή το μαγαζί το άνοιξε ο γιος μου,,,ovs_b,10,13,3
S069,Τις προάλλες διάβασα σε ένα βιβλίο ότι το ξυπνητήρι το εφηύρε ο Πλάτωνας,,,ovs_b,10,13,3
